fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230724 123930	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6327	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200104813884644	0.527557134162569	546	37769	30259	154379761.61919	43
20230724 131551	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5708	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200162233559933	0.520865686671021	545	37069	32792	154650206.896552	44
20230724 134559	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4637	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200111326421404	0.532007446311638	533	36992	32978	155266359.82009	45
20230724 184142	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7741	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200574704726578	0.560529982011822	525	36628	29878	153703751.124438	46
20230724 191230	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4646	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200068959856796	0.501408511768179	563	37813	30940	155437451.274363	47
20230724 193333	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3243	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200562768620683	0.490634715152648	586	38261	31718	156074365.817091	48
20230724 195915	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200024937999032	0.451355251051941	653	39057	33059	154737782.608696	49
20230724 203808	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6843	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200095574334596	0.473065854684294	599	38825	31827	154319419.790105	50
20230724 211243	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5937	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200302389545065	0.486468925586483	569	38012	31062	154698437.781109	51
20230724 214218	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4949	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200064837416131	0.490160587354405	579	37789	31439	155334814.092954	52
20230724 221234	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4949	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200064837416131	0.490160587354405	579	37789	31439	155334814.092954	53
20230724 224047	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4219	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.02003242280865	0.490233575621033	583	37697	31230	155137406.296852	54
20230724 230637	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4219	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.02003242280865	0.490233575621033	583	37697	31230	155137406.296852	55
20230724 233225	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4219	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.02003242280865	0.490233575621033	583	37697	31230	155137406.296852	56
20230725 000341	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200071576942448	0.486169266746435	603	37918	29483	154899185.907046	57
20230725 003354	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4949	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200064837416131	0.490160587354405	579	37789	31439	155334814.092954	58
20230725 011315	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6746	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200293458385988	0.496889877728506	593	37343	28495	153157038.98051	59
20230725 014738	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5893	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200129569530142	0.482671506576792	523	39096	31199	156016793.103448	60
20230725 023105	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7676	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200236411548535	0.462051490889711	502	40227	29665	153560142.428786	61
20230725 030515	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020032924994658	0.511556647708158	560	37805	29274	154876890.554723	62
20230725 033926	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020032924994658	0.511556647708158	560	37805	29274	154876890.554723	63
20230725 041314	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020032924994658	0.511556647708158	560	37805	29274	154876890.554723	64
20230725 044705	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020032924994658	0.511556647708158	560	37805	29274	154876890.554723	65
20230725 052100	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020032924994658	0.511556647708158	560	37805	29274	154877070.464768	66
